username,followers,following,posts,bio_length,has_profile_picture,account_age_days,fake
user_403,89,1212,21,17,1,98,1.0
user_833,7143,144,995,121,1,372,0.0
user_237,69,1903,40,1,0,27,1.0
user_263,89,1643,25,0,1,78,1.0
user_639,9448,353,302,162,1,1162,0.0
user_162,3,885,37,16,1,61,1.0
user_412,25,630,9,8,0,7,1.0
user_299,47,1404,43,18,1,16,1.0
user_357,68,1405,43,13,0,63,1.0
user_890,8817,300,680,31,1,1478,0.0
user_132,22,1985,8,17,1,62,1.0
user_423,19,1456,41,11,1,18,1.0
user_437,85,1612,38,3,0,2,1.0
user_500,75,750,15,11,0,45,1.0
user_292,11,970,14,11,1,37,1.0
user_71,3,1097,46,17,0,63,1.0
user_570,86,553,8,5,0,85,1.0
user_59,83,919,29,14,0,60,1.0
user_138,85,1928,34,9,0,46,1.0
user_765,7070,458,808,57,1,1323,0.0
user_336,16,627,3,6,0,56,1.0
user_528,33,875,22,14,0,37,1.0
user_4,60,875,5,4,0,27,1.0
user_101,88,1657,9,5,0,27,1.0
user_123,40,1387,27,19,0,66,1.0
user_193,26,647,39,19,0,95,1.0
user_963,217,83,949,120,1,532,0.0
user_773,504,3,904,112,1,1143,0.0
user_694,1314,12,454,158,1,594,0.0
user_396,31,1457,48,15,0,58,1.0
user_584,35,1280,1,8,0,92,1.0
user_563,28,725,29,2,0,16,1.0
user_3,71,833,17,18,0,72,1.0
user_256,79,1506,32,13,0,70,1.0
user_291,47,1206,35,2,1,14,1.0
user_390,94,1835,35,3,0,25,1.0
user_377,52,1636,25,3,0,87,1.0
user_38,61,642,35,11,0,28,1.0
user_994,8612,146,682,47,1,696,0.0
user_724,8649,277,232,39,1,1370,0.0
user_241,74,1701,10,12,0,60,1.0
user_872,6476,343,537,29,1,526,0.0
user_245,23,1332,24,7,0,58,1.0
user_90,71,594,44,9,0,73,1.0
user_778,1560,38,465,61,1,879,0.0
user_566,94,1436,2,12,0,31,1.0
user_258,2,1941,31,8,0,64,1.0
user_971,9015,207,522,124,1,579,0.0
user_489,47,515,15,6,0,70,1.0
user_177,44,1209,4,15,0,51,1.0
user_543,31,1438,17,10,0,31,1.0
user_37,61,1074,33,12,1,83,1.0
user_429,86,838,23,19,1,57,1.0
user_555,11,1063,41,5,0,10,1.0
user_709,6290,325,542,183,0,884,0.0
user_159,95,743,49,10,0,52,1.0
user_212,51,785,1,19,1,79,1.0
user_911,8252,147,647,153,1,482,0.0
user_461,95,1434,7,13,0,28,1.0
user_28,88,1565,27,19,1,72,1.0
user_960,8295,177,310,56,1,323,0.0
user_141,64,1705,4,4,0,88,1.0
user_254,58,1078,28,3,1,20,1.0
user_873,623,71,876,73,0,601,0.0
user_990,7141,24,615,26,0,619,0.0
user_759,1115,32,291,100,1,1209,0.0
user_754,2971,380,621,92,1,1086,0.0
user_85,99,546,4,18,1,14,1.0
user_607,8887,442,222,68,1,793,0.0
user_10,87,1843,40,2,0,11,1.0
user_399,22,700,33,11,0,25,1.0
user_477,54,1485,33,16,0,46,1.0
user_280,22,1904,27,17,0,61,1.0
user_533,57,1204,20,11,1,44,1.0
user_52,88,1053,14,12,0,36,1.0
user_513,68,1196,19,13,0,19,1.0
user_822,1431,279,672,94,1,466,0.0
user_856,9191,221,742,58,1,1108,0.0
user_103,40,522,29,13,0,15,1.0
user_956,5442,369,705,113,1,602,0.0
user_50,17,890,39,14,0,49,1.0
user_350,97,1145,41,7,0,63,1.0
user_807,4819,146,260,152,1,700,0.0
user_644,8110,288,132,56,0,668,0.0
user_253,72,1752,18,4,1,90,1.0
user_840,6071,49,218,143,1,721,0.0
user_166,42,846,15,13,0,55,1.0
user_430,14,1160,45,7,0,47,1.0
user_379,98,1306,36,16,0,97,1.0
user_303,23,1353,22,15,1,90,1.0
user_402,1,572,16,13,1,48,1.0
user_534,95,1448,1,18,1,34,1.0
user_634,7960,114,394,70,0,687,0.0
user_219,2,1894,47,11,1,62,1.0
user_451,14,1128,38,11,1,17,1.0
user_720,8220,334,752,159,1,936,0.0
user_506,28,1313,4,11,0,62,1.0
user_416,23,1958,24,1,0,2,1.0
user_155,41,812,38,6,0,67,1.0
user_472,16,1621,43,7,0,37,1.0
user_411,41,1562,10,8,1,45,1.0
user_83,73,1784,34,2,0,31,1.0
user_251,15,1260,14,15,0,47,1.0
user_891,8250,216,88,138,1,658,0.0
user_363,63,1133,20,2,0,32,1.0
user_345,50,1901,38,1,0,96,1.0
user_76,53,1682,1,12,0,4,1.0
user_577,89,1189,34,5,0,81,1.0
user_597,95,1420,5,0,0,67,1.0
user_598,23,1237,24,14,0,12,1.0
user_432,97,873,3,5,0,42,1.0
user_916,1396,241,909,176,1,681,0.0
user_39,46,1492,1,5,0,17,1.0
user_695,1631,45,295,198,1,655,0.0
user_746,7814,191,154,111,0,808,0.0
user_829,3277,71,409,64,1,881,0.0
user_608,828,225,61,132,1,129,0.0
user_135,36,1278,25,14,0,15,1.0
user_230,0,1787,3,13,0,6,1.0
user_535,0,1084,26,14,0,77,1.0
user_239,67,554,18,15,1,31,1.0
user_654,1291,303,129,96,1,970,0.0
user_257,92,1787,48,18,0,59,1.0
user_32,41,1818,49,18,1,88,1.0
user_337,32,541,25,8,0,4,1.0
user_137,43,1313,0,6,0,79,1.0
user_974,6383,313,945,160,1,989,0.0
user_910,3186,91,305,188,1,356,0.0
user_29,48,588,43,3,0,49,1.0
user_510,46,817,0,6,0,52,1.0
user_805,4958,83,485,160,1,819,0.0
user_857,8572,205,209,84,1,1292,0.0
user_300,79,1749,42,14,1,62,1.0
user_226,53,613,3,8,0,38,1.0
user_894,6909,424,282,101,1,359,0.0
user_784,7345,371,894,54,1,905,0.0
user_338,47,1879,24,2,0,93,1.0
user_394,45,1990,4,13,1,74,1.0
user_310,37,558,10,0,1,24,1.0
user_347,7,841,30,5,0,74,1.0
user_469,12,1494,5,16,0,74,1.0
user_79,17,715,16,12,0,9,1.0
